100001,100001,100000000
100002,100002,100000000
100003,100003,100000000
100004,100004,100000000
100005,100005,100000000
100006,100006,100000000
100007,100007,100000000
100008,100008,100000000
100009,100009,100000000
100010,100010,100000000
100011,100011,100000001
100012,100012,100000001
100013,100013,100000001
100014,100014,100000001
100015,100015,100000001
100016,100016,100000001
100017,100017,100000001
100018,100018,100000001
100019,100019,100000001
100020,100020,100000001
100021,100021,100000002
100022,100022,100000002
100023,100023,100000002
100024,100024,100000002
100025,100025,100000002
100026,100026,100000002
100027,100027,100000002
100028,100028,100000002
100029,100029,100000002
100030,100030,100000002
100031,100031,100000003
100032,100032,100000003
100033,100033,100000003
100034,100034,100000003
100035,100035,100000003
100036,100036,100000003
100037,100037,100000003
100038,100038,100000003
100039,100039,100000003
100040,100040,100000003
100041,100041,100000004
100042,100042,100000004
100043,100043,100000004
100044,100044,100000004
100045,100045,100000004
100046,100046,100000004
100047,100047,100000004
100048,100048,100000004
100049,100049,100000004
100050,100050,100000004
100051,100051,100000005
100052,100052,100000005
100053,100053,100000005
100054,100054,100000005
100055,100055,100000005
100056,100056,100000005
100057,100057,100000005
100058,100058,100000005
100059,100059,100000005
100060,100060,100000005
100061,100061,100000006
100062,100062,100000006
100063,100063,100000006
100064,100064,100000006
100065,100065,100000006
100066,100066,100000006
100067,100067,100000006
100068,100068,100000006
100069,100069,100000006
100070,100070,100000006
100071,100071,100000007
100072,100072,100000007
100073,100073,100000007
100074,100074,100000007
100075,100075,100000007
100076,100076,100000007
100077,100077,100000007
100078,100078,100000007
100079,100079,100000007
100080,100080,100000007
100081,100081,100000008
100082,100082,100000008
100083,100083,100000008
100084,100084,100000008
100085,100085,100000008
100086,100086,100000008
100087,100087,100000008
100088,100088,100000008
100089,100089,100000008
100090,100090,100000008
100091,100091,100000009
100092,100092,100000009
100093,100093,100000009
100094,100094,100000009
100095,100095,100000009
100096,100096,100000009
100097,100097,100000009
100098,100098,100000009
100099,100099,100000009
100100,100100,100000009
